ACC_X_AVG,ACC_Y_AVG,ACC_Z_AVG,GYR_X_AVG,GYR_Y_AVG,GYR_Z_AVG,MAG_X_AVG,MAG_Y_AVG,MAG_Z_AVG,ACC_X_Range,ACC_Y_Range,ACC_Z_Range,GYR_X_Range,GYR_Y_Range,GYR_Z_Range,MAG_X_Range,MAG_Y_Range,MAG_Z_Range
-82.49166667,215.6833333,884.175,61.79166667,32.50833333,247.2916667,516.0916667,451.7,-1217.716667,1373,1304,2274,4891,3244,2530,1059,762,855
-73.64166667,157.0166667,691.4833333,-89.28333333,-0.441666667,-45.83333333,302.3083333,406.4,-1191.066667,1445,1390,2767,6063,3717,1767,522,354,459
-65.69166667,140.3,731.1166667,13.90833333,-50.70833333,-20.43333333,306.175,406.1333333,-1224.983333,1630,1497,2679,5975,4904,2063,533,342,449
25.84166667,52.54166667,795.6583333,-11.80833333,-23.38333333,7.1,363.4,355.95,-1264.233333,1398,1577,2536,6477,3657,1519,569,369,404
-45.875,100.7083333,708.7166667,129.425,-69.23333333,-8.558333333,288.0916667,364.875,-1220.391667,2103,1297,2726,7185,4094,1846,520,381,471
-69.05,-36.10833333,786.6333333,-6.666666667,-42.51666667,-0.241666667,362.575,375.7,-1275.6,1818,1443,2815,6927,4415,1544,635,345,428
-25.6,129.7083333,762.0166667,8.033333333,41.08333333,-16.6,362.0166667,116.475,-1208.95,1135,1533,2005,4739,2961,1772,619,739,329
-111.3083333,121.7083333,755.6916667,-82.79166667,-87.80833333,-6.308333333,351.3,194.725,-1147.441667,1164,1411,2379,5435,3300,2054,650,605,289
-116.85,88.825,757.5083333,141.9,4.558333333,-26.43333333,350.1583333,179.6083333,-1140.691667,1266,1384,2430,5541,2300,1638,690,546,286
-89.925,-7.158333333,800.9583333,-10.78333333,-26.81666667,-21.55833333,360.2083333,148.9083333,-1163.025,1459,1432,2356,6002,2697,2169,677,517,300
-175.5833333,58.675,731.825,35.225,-29.95,-58.73333333,329.7083333,220.6666667,-1161.675,1044,1388,2498,5582,3176,1896,682,483,309
-175.7333333,84.63333333,797.5416667,-91.94166667,-101.8916667,-57.475,365.825,195.3833333,-1168.233333,1452,1401,2387,5256,2862,1733,630,547,258
-159.6916667,49.475,783.675,19.71666667,-59.89166667,-37.475,345.9583333,227.4416667,-1151.641667,1378,1084,2629,5734,2802,1741,667,614,324
-82.48333333,5.616666667,840.2583333,4.766666667,-25.675,-14.23333333,37.93333333,711.0416667,-1321.066667,1517,1579,2683,6866,3240,1787,574,466,725
-105.3083333,-17.9,905.2166667,39.73333333,0.766666667,-4.075,109.0916667,756.65,-1352.3,1754,1083,2723,6286,3236,2902,645,430,552
-112.8333333,-9.425,863.95,112.7166667,-12.91666667,1.491666667,121.9166667,743.1666667,-1333.625,1659,969,2809,7329,3318,2896,604,351,527
-241.25,-62.86666667,769.1666667,-20.09166667,-21.33333333,1.158333333,148.125,687.425,-1317.675,2212,1286,2611,7472,4364,3295,646,477,378
-249.1833333,-125.0583333,891.2166667,-84.00833333,6.55,-6.858333333,200.8833333,670.225,-1322.183333,2310,1658,2695,6984,4841,3073,660,432,464
-145.7,-87.73333333,801.4,45.25,-8.808333333,26.11666667,146.9916667,612.9,-1329.925,1624,1474,2707,7436,3767,2476,645,399,408
-249.3083333,-37,906.1333333,15.48333333,6.233333333,-4.058333333,173.725,728.6833333,-1326.025,1532,1224,2740,7054,3338,1998,593,371,345
-56.1,9.133333333,839.6166667,31.4,-18.41666667,-65.025,669.9916667,275.2166667,-1533.741667,1489,1500,2494,6269,3551,2439,673,572,355
-35.55833333,-59.90833333,805.6833333,14.075,-0.741666667,-23.44166667,620.35,247.7666667,-1553.233333,2036,1675,2676,7748,5427,2311,767,519,432
-179.4083333,44.68333333,855.825,54.10833333,27.225,42.96666667,705.475,440.7666667,-1553.558333,1729,1340,2880,7326,4367,2606,800,739,348
-203.65,43.45833333,730.1916667,-11.23333333,-0.266666667,-42.975,663.275,478.2333333,-1536.991667,2144,1776,2971,6775,4836,3601,795,601,432
-156.4,72.78333333,869.2666667,8.1,-138.0416667,-106.9833333,655.5083333,465.4583333,-1555.258333,2133,1133,2843,6035,4816,2630,753,564,439
-151.1916667,-14.48333333,873.05,26.15,-81.68333333,-42.15833333,679.6,415.7666667,-1556.841667,1722,1279,2743,6481,3554,3314,765,525,369
-108.7916667,73.8,824.65,34.71666667,-38.18333333,-82.01666667,642.125,419.125,-1552.6,1562,1364,2720,5677,3394,2821,709,547,362
78.30833333,-118.7833333,730.7416667,-47.33333333,-28.69166667,3.708333333,459.8416667,-180.1416667,-304.975,1230,1422,2896,6865,2972,1071,568,414,560
-40.10833333,-17.475,846.125,-5.941666667,-6.825,17.15833333,373.1166667,-161.2833333,-396.4666667,758,1357,2487,6195,2309,1491,570,232,401
